jahr,studierende_gesamt,bafoeg_studierende,Werk,stip_gesamt_werk,stip_bafoeg_Nein,stip_bafoeg_Ja,stip_bafoeg_anteil,stip_von_bafoeg,stip_von_nichtbafoeg
2018,2868222,517675,HBS,2435,407,2028,0.8328542094455852,0.003917515815907664,1.7315118566018888e-4
2018,2868222,517675,HSS,1401,831,570,0.4068522483940043,0.001101076930506592,3.535347304265773e-4
2018,2868222,517675,KAS,2694,1835,859,0.3188567186340015,0.0016593422514125657,7.806693505809499e-4
2018,2868222,517675,RLS,889,159,730,0.8211473565804275,0.0014101511566137054,6.764382928739566e-5
2018,2868222,517675,SDW,1664,1033,631,0.3792067307692308,0.001218911479209929,4.394721739237718e-4
2018,2868222,517675,StS,12752,8888,3864,0.30301129234629864,0.0074641425604867915,0.0037812475138765574
2018,2868222,517675,hbs,1073,526,547,0.5097856477166822,0.0010566475105036944,2.2377769940358562e-4
2019,2891049,489313,AVICENNA,506,40,466,0.9209486166007905,9.523556496557419e-4,1.6654619824993255e-5
2019,2891049,489313,CUS,1854,1238,616,0.33225458468176916,0.0012589078973990063,5.154604835835412e-4
2019,2891049,489313,ELES,300,108,185,0.6313993174061433,3.7808110555002624e-4,4.496747352748179e-5
2019,2891049,489313,ESW,1461,777,684,0.4681724845995893,0.0013978782497092862,3.2351599010049396e-4
2019,2891049,489313,FES,2189,1137,1052,0.48058474189127454,0.0021499530975060952,4.734075685254333e-4
2019,2891049,489313,FNS,949,653,296,0.3119072708113804,6.04929768880042e-4,2.7188666864301486e-4
2019,2891049,489313,HBS,2413,446,1963,0.8148609381486094,0.004011747082133522,1.856990110486748e-4
2019,2891049,489313,HSS,1359,849,499,0.3701780415430267,0.00101979714415926,3.5349430578548183e-4
2019,2891049,489313,KAS,2719,1885,834,0.30673041559396835,0.0017044304974525508,7.848489592528072e-4
2019,2891049,489313,RLS,906,153,753,0.8311258278145696,0.001538892283671188,6.37039208305992e-5
2019,2891049,489313,SDW,1721,1055,666,0.38698431144683326,0.0013610919799800945,4.392655978841971e-4
2019,2891049,489313,StS,12953,8247,3831,0.31718827620466966,0.007829344407362977,0.003433766242417984
2019,2891049,489313,hbs,1076,556,520,0.483271375464684,0.001062714458843317,2.3149921556740624e-4
2020,2944145,465543,AVICENNA,510,57,453,0.888235294117647,9.730572686089148e-4,2.2996834505902923e-5
2020,2944145,465543,CUS,2048,1439,609,0.29736328125,0.0013081498379311901,5.805692079648124e-4
2020,2944145,465543,ELES,288,92,190,0.6737588652482269,4.0812556520020707e-4,3.711769779900121e-5
2020,2944145,465543,ESW,1484,792,692,0.46630727762803237,0.0014864362690449647,3.1953496366096695e-4
2020,2944145,465543,FES,2042,1094,948,0.4642507345739471,0.0020363317674199806,4.413778412185579e-4
2020,2944145,465543,FNS,977,671,306,0.3132036847492323,6.572969629013862e-4,2.7071712199054144e-4
2020,2944145,465543,HBS,2396,486,1902,0.7964824120603015,0.004085551710583125,1.9607827315559336e-4
